codigo;codigo_cor;cor;quant
140000;2603;2603 - LISTRA VERDE;40
140000;2604;2604 - LISTRA COLORIDA;39
140001;0036;0036 - OFF-WHITE;21
140001;2427;2427 - LISTRA AZUL;26
140001;2603;2603 - LISTRA VERDE;20
140001;2604;2604 - LISTRA COLORIDA;19
140003;0036;0036 - OFF-WHITE;34
140003;0051;0051 - AZUL CLARO;28
140004;0003;0003 - MARINHO;9
140004;0046;0046 - ROSA;1
140004;0068;0068 - LARANJA;7
140004;0122;0122 - AZUL;1
140004;0337;0337 - MILITAR;5
140010;0041;0041 - CRU;3
140011;2427;2427 - LISTRA AZUL;13
140011;2603;2603 - LISTRA VERDE;13
140012;0002;0002 - PRETO;4
140012;0041;0041 - CRU;5
140012;0046;0046 - ROSA;1
140013;0003;0003 - MARINHO;8
140013;0051;0051 - AZUL CLARO;14
205000;0001;0001 - BRANCO;-2
206019;0002;0002 - PRETO;1
208006;0001;0001 - BRANCO;-1
211042;0001;0001 - BRANCO;-1
215009;0001;0001 - BRANCO;-1
215021;0036;0036 - OFF-WHITE;1
215022;0002;0002 - PRETO;-1
216041;0002;0002 - PRETO;1
216048;0054;0054 - MARROM;-1
216050;0003;0003 - MARINHO;38
216050;1530;1530 - BEGE;31
217001;0003;0003 - MARINHO;22
217004;0054;0054 - MARROM;1
217010;0003;0003 - MARINHO;30
217010;0036;0036 - OFF-WHITE;46
217010;0040;0040 - VERDE;24
217019;0001;0001 - BRANCO;2
217019;0002;0002 - PRETO;1
217025;0002;0002 - PRETO;2
217025;1530;1530 - BEGE;3
217027;0040;0040 - VERDE;1
217027;1530;1530 - BEGE;1
217035;0052;0052 - ROXO;17
217035;0090;0090 - AZUL BIC;28
217035;0337;0337 - MILITAR;3
217035;0551;0551 - VERDE CL.;17
217047;0036;0036 - OFF-WHITE;-1
217047;1530;1530 - BEGE;35
217053;2132;2132 - ESTAMPA IKAT;1
217054;0002;0002 - PRETO;1
217054;0054;0054 - MARROM;1
217058;1530;1530 - BEGE;1
218000;0036;0036 - OFF-WHITE;37
218000;0332;0332 - KHAKI;42
219000;0017;0017 - CINZA;25
219000;0036;0036 - OFF-WHITE;23
219000;0054;0054 - MARROM;23
219001;0002;0002 - PRETO;57
219001;0003;0003 - MARINHO;56
219001;0017;0017 - CINZA;20
219002;0017;0017 - CINZA;23
219002;0036;0036 - OFF-WHITE;24
219002;0046;0046 - ROSA;16
219004;0002;0002 - PRETO;37
219004;1530;1530 - BEGE;37
219005;0002;0002 - PRETO;37
219005;0003;0003 - MARINHO;60
219005;0017;0017 - CINZA;36
219005;0054;0054 - MARROM;60
219005;1530;1530 - BEGE;30
219006;0017;0017 - CINZA;33
219006;0040;0040 - VERDE;14
219006;0054;0054 - MARROM;33
219007;0002;0002 - PRETO;31
219008;0002;0002 - PRETO;28
219009;0002;0002 - PRETO;36
219009;1530;1530 - BEGE;41
219010;1299;1299 - XADREZ;23
219010;1455;1455 - PIED POULE;10
219011;0017;0017 - CINZA;22
219012;0002;0002 - PRETO;20
219013;0054;0054 - MARROM;6
219014;0332;0332 - KHAKI;23
219015;0036;0036 - OFF-WHITE;5
219016;0003;0003 - MARINHO;9
219016;0068;0068 - LARANJA;5
219016;1530;1530 - BEGE;16
219017;0002;0002 - PRETO;16
219017;0054;0054 - MARROM;17
219020;0002;0002 - PRETO;30
219021;0001;0001 - BRANCO;21
219021;0003;0003 - MARINHO;20
219024;0002;0002 - PRETO;19
219024;0036;0036 - OFF-WHITE;19
219027;0003;0003 - MARINHO;25
219027;0041;0041 - CRU;28
219031;0003;0003 - MARINHO;50
219035;0036;0036 - OFF-WHITE;1
219035;1530;1530 - BEGE;20
219038;0002;0002 - PRETO;38
219038;0003;0003 - MARINHO;38
219039;0001;0001 - BRANCO;38
219039;0003;0003 - MARINHO;45
219039;0067;0067 - LILÁS;2
219039;1451;1451 - TURQUESA;24
219039;1587;1587 - AMARELO;26
219041;0711;0711 - OFF C/ MARINHO;39
219042;0003;0003 - MARINHO;32
219042;0036;0036 - OFF-WHITE;35
219042;1530;1530 - BEGE;35
219043;0268;0268 - DENIM;45
219044;0002;0002 - PRETO;19
219045;0002;0002 - PRETO;26
219046;0036;0036 - OFF-WHITE;22
219046;0332;0332 - KHAKI;27
219047;0003;0003 - MARINHO;19
219047;0036;0036 - OFF-WHITE;24
219048;0002;0002 - PRETO;38
219049;0017;0017 - CINZA;15
219050;0003;0003 - MARINHO;42
219050;0332;0332 - KHAKI;41
219053;2518;2518 - TURQUESA COM MARINHO;52
219054;0001;0001 - BRANCO;113
219054;0002;0002 - PRETO;112
219055;0001;0001 - BRANCO;101
219055;0002;0002 - PRETO;110
219056;0003;0003 - MARINHO;39
219056;0332;0332 - KHAKI;38
219057;0036;0036 - OFF-WHITE;21
219057;0332;0332 - KHAKI;12
219058;0268;0268 - DENIM;40
219060;0003;0003 - MARINHO;36
219060;0054;0054 - MARROM;22
219060;1530;1530 - BEGE;1
219061;1530;1530 - BEGE;42
219062;0002;0002 - PRETO;47
219063;0003;0003 - MARINHO;28
219063;0054;0054 - MARROM;28
219064;0054;0054 - MARROM;27
219064;0122;0122 - AZUL;30
219067;0002;0002 - PRETO;36
219068;0003;0003 - MARINHO;17
219068;0036;0036 - OFF-WHITE;26
219068;1587;1587 - AMARELO;18
219069;0003;0003 - MARINHO;20
219069;0036;0036 - OFF-WHITE;18
219073;0002;0002 - PRETO;33
219073;1530;1530 - BEGE;30
219074;0002;0002 - PRETO;20
219074;0258;0258 - CAFÉ;20
219076;0002;0002 - PRETO;36
219077;2600;2600 - BEGE COM MARINHO;43
219078;2600;2600 - BEGE COM MARINHO;53
219079;0050;0050 - AZUL BIC;21
219079;0551;0551 - VERDE CL.;17
219080;0054;0054 - MARROM;55
219082;0036;0036 - OFF-WHITE;24
219110;0002;0002 - PRETO;40
219110;0003;0003 - MARINHO;39
239003;0003;0003 - MARINHO;28
239003;0122;0122 - AZUL;21
239003;1340;1340 - BLUSH;16
239004;0002;0002 - PRETO;18
239004;0036;0036 - OFF-WHITE;15
239005;0122;0122 - AZUL;40
239005;1340;1340 - BLUSH;27
239007;0001;0001 - BRANCO;41
239007;0002;0002 - PRETO;40
239007;0003;0003 - MARINHO;33
239009;2427;2427 - LISTRA AZUL;18
239009;2517;2517 - LISTRA AMARELA;18
239009;2603;2603 - LISTRA VERDE;23
239016;0002;0002 - PRETO;25
239016;0036;0036 - OFF-WHITE;18
239021;0040;0040 - VERDE;9
239021;0068;0068 - LARANJA;10
239021;1587;1587 - AMARELO;7
239022;0003;0003 - MARINHO;23
239022;1297;1297 - BORDÔ;24
239024;0003;0003 - MARINHO;18
239024;1530;1530 - BEGE;18
239028;0036;0036 - OFF-WHITE;21
239028;1337;1337 - INDIGO;35
239029;0003;0003 - MARINHO;29
239029;0054;0054 - MARROM;28
239029;1530;1530 - BEGE;25
239030;0003;0003 - MARINHO;21
239030;1530;1530 - BEGE;21
239033;1530;1530 - BEGE;37
239036;0003;0003 - MARINHO;23
239036;0036;0036 - OFF-WHITE;30
239038;0003;0003 - MARINHO;27
239038;1530;1530 - BEGE;29
239041;1530;1530 - BEGE;40
239043;0036;0036 - OFF-WHITE;18
239043;1340;1340 - BLUSH;10
239051;0040;0040 - VERDE;30
239051;0308;0308 - VERMELHO;50
239052;1530;1530 - BEGE;50
239054;0001;0001 - BRANCO;37
239056;0036;0036 - OFF-WHITE;11
239056;1530;1530 - BEGE;21
239064;0040;0040 - VERDE;39
239064;0308;0308 - VERMELHO;42
239064;1530;1530 - BEGE;39
239067;0258;0258 - CAFÉ;15
239068;1146;1146 - FENDI;15
239074;0054;0054 - MARROM;29
239080;0002;0002 - PRETO;23
239080;1530;1530 - BEGE;19
319019;0002;0002 - PRETO;-1
328027;1587;1587 - AMARELO;26
328028;0040;0040 - VERDE;25
328028;0067;0067 - LILÁS;45
328028;0122;0122 - AZUL;37
328028;1340;1340 - BLUSH;21
328055;0002;0002 - PRETO;1
328098;0036;0036 - OFF-WHITE;1
329011;0002;0002 - PRETO;44
329011;0036;0036 - OFF-WHITE;38
329011;0050;0050 - AZUL BIC;1
329011;0054;0054 - MARROM;1
329011;1585;1585 - BEGE;38
329011;1587;1587 - AMARELO;2
329020;0002;0002 - PRETO;-2
329024;0040;0040 - VERDE;5
329024;0068;0068 - LARANJA;23
329024;5000;5000 - OFF WHITE;19
329044;0002;0002 - PRETO;52
329094;0036;0036 - OFF-WHITE;1
330005;0002;0002 - PRETO;29
330005;0036;0036 - OFF-WHITE;9
330005;0040;0040 - VERDE;6
330010;0040;0040 - VERDE;27
330011;0002;0002 - PRETO;48
330011;0036;0036 - OFF-WHITE;1
330011;0052;0052 - ROXO;20
330025;0036;0036 - OFF-WHITE;-1
330027;0001;0001 - BRANCO;32
330027;0002;0002 - PRETO;23
330032;0002;0002 - PRETO;1
330035;0036;0036 - OFF-WHITE;-2
330043;0002;0002 - PRETO;84
330043;0003;0003 - MARINHO;49
330043;0036;0036 - OFF-WHITE;67
330043;0052;0052 - ROXO;78
330043;1146;1146 - FENDI;47
330043;1530;1530 - BEGE;38
330044;1530;1530 - BEGE;2
330050;0001;0001 - BRANCO;1
330050;0002;0002 - PRETO;-3
330052;0036;0036 - OFF-WHITE;1
330052;0132;0132 - LISTRADO BORDO;1
330063;0040;0040 - VERDE;38
330063;1530;1530 - BEGE;39
330066;1530;1530 - BEGE;-1
330084;1530;1530 - BEGE;-1
330085;0002;0002 - PRETO;1
330085;0036;0036 - OFF-WHITE;1
330085;0258;0258 - CAFÉ;1
330085;0337;0337 - MILITAR;1
330088;0258;0258 - CAFÉ;-1
330091;0036;0036 - OFF-WHITE;-1
330097;0002;0002 - PRETO;1
330107;0670;0670 - PRETO/OFF/BEGE;-1
330109;0036;0036 - OFF-WHITE;20
330115;000;000 - UNICA;1
330116;000;000 - UNICA;1
330118;0068;0068 - LARANJA;6
330118;1297;1297 - BORDÔ;6
330200;0002;0002 - PRETO;-1
332000;1337;1337 - INDIGO;41
332001;0036;0036 - OFF-WHITE;39
332002;0036;0036 - OFF-WHITE;45
332003;0040;0040 - VERDE;19
332003;0068;0068 - LARANJA;18
332003;5000;5000 - OFF WHITE;21
332004;0002;0002 - PRETO;26
332004;0036;0036 - OFF-WHITE;16
332004;1530;1530 - BEGE;16
332005;0002;0002 - PRETO;44
332005;0036;0036 - OFF-WHITE;42
332005;1587;1587 - AMARELO;35
332006;0052;0052 - ROXO;61
332006;0551;0551 - VERDE CL.;61
332007;0002;0002 - PRETO;23
332007;0050;0050 - AZUL BIC;19
332007;0551;0551 - VERDE CL.;1
332009;0002;0002 - PRETO;4
332010;0002;0002 - PRETO;30
332010;1530;1530 - BEGE;25
332012;0002;0002 - PRETO;11
332012;0052;0052 - ROXO;10
332013;0003;0003 - MARINHO;36
332013;0036;0036 - OFF-WHITE;38
332014;0003;0003 - MARINHO;31
332014;0036;0036 - OFF-WHITE;29
332016;0003;0003 - MARINHO;30
332016;0068;0068 - LARANJA;18
332017;0002;0002 - PRETO;14
332017;0036;0036 - OFF-WHITE;14
332018;0040;0040 - VERDE;5
332018;0068;0068 - LARANJA;20
332019;0002;0002 - PRETO;37
332019;0036;0036 - OFF-WHITE;23
332019;0040;0040 - VERDE;20
332019;0068;0068 - LARANJA;16
332023;0002;0002 - PRETO;32
332023;0036;0036 - OFF-WHITE;33
332023;0050;0050 - AZUL BIC;30
332023;0054;0054 - MARROM;2
332023;1587;1587 - AMARELO;26
332024;0002;0002 - PRETO;21
332024;1530;1530 - BEGE;18
332025;0002;0002 - PRETO;44
332025;1530;1530 - BEGE;28
332026;0002;0002 - PRETO;31
332026;0054;0054 - MARROM;34
332027;0002;0002 - PRETO;38
332027;0003;0003 - MARINHO;4
332027;1530;1530 - BEGE;10
332028;1299;1299 - XADREZ;30
332028;1455;1455 - PIED POULE;28
332030;0002;0002 - PRETO;36
332031;1337;1337 - INDIGO;33
332032;0002;0002 - PRETO;48
332032;0054;0054 - MARROM;37
332033;0001;0001 - BRANCO;122
332033;0002;0002 - PRETO;83
332034;0002;0002 - PRETO;98
332036;0002;0002 - PRETO;35
332036;1530;1530 - BEGE;24
332037;0002;0002 - PRETO;21
332037;1530;1530 - BEGE;16
332044;0002;0002 - PRETO;40
332045;0003;0003 - MARINHO;15
332045;0036;0036 - OFF-WHITE;22
332045;1530;1530 - BEGE;25
332046;0002;0002 - PRETO;22
332046;0054;0054 - MARROM;14
332047;0002;0002 - PRETO;22
332047;0054;0054 - MARROM;16
332049;0017;0017 - CINZA;41
332049;0040;0040 - VERDE;32
332050;0017;0017 - CINZA;11
332050;0036;0036 - OFF-WHITE;12
332050;0046;0046 - ROSA;12
332051;0017;0017 - CINZA;22
332051;0036;0036 - OFF-WHITE;14
332051;0046;0046 - ROSA;10
332052;0017;0017 - CINZA;10
332052;0036;0036 - OFF-WHITE;15
332052;0054;0054 - MARROM;15
332054;0002;0002 - PRETO;11
332054;0052;0052 - ROXO;12
332055;0036;0036 - OFF-WHITE;12
332055;0054;0054 - MARROM;15
332055;0122;0122 - AZUL;15
332056;1299;1299 - XADREZ;34
332056;1455;1455 - PIED POULE;36
332057;0003;0003 - MARINHO;35
332057;0036;0036 - OFF-WHITE;34
332057;1530;1530 - BEGE;30
332058;0002;0002 - PRETO;20
332058;0036;0036 - OFF-WHITE;20
332059;2519;2519 - DENIM CLARO;73
332063;0002;0002 - PRETO;50
332064;0002;0002 - PRETO;33
332065;0002;0002 - PRETO;31
332066;0002;0002 - PRETO;45
332066;0036;0036 - OFF-WHITE;40
332067;0002;0002 - PRETO;23
332067;0036;0036 - OFF-WHITE;24
332068;0002;0002 - PRETO;19
332068;0036;0036 - OFF-WHITE;20
332069;0036;0036 - OFF-WHITE;33
332069;1530;1530 - BEGE;45
332070;0036;0036 - OFF-WHITE;26
332070;0054;0054 - MARROM;15
332071;0002;0002 - PRETO;16
332071;0036;0036 - OFF-WHITE;23
332071;0050;0050 - AZUL BIC;4
332071;0551;0551 - VERDE CL.;15
332072;0002;0002 - PRETO;15
332072;0003;0003 - MARINHO;16
332072;0036;0036 - OFF-WHITE;13
332072;0052;0052 - ROXO;25
332076;0002;0002 - PRETO;12
332076;1587;1587 - AMARELO;15
332077;0002;0002 - PRETO;22
332078;0002;0002 - PRETO;8
332079;0002;0002 - PRETO;13
332079;0036;0036 - OFF-WHITE;15
332081;0002;0002 - PRETO;38
332081;0036;0036 - OFF-WHITE;22
332081;0040;0040 - VERDE;23
332081;0050;0050 - AZUL BIC;29
332081;0052;0052 - ROXO;36
332081;1587;1587 - AMARELO;30
332082;0036;0036 - OFF-WHITE;13
332082;0040;0040 - VERDE;13
332082;0068;0068 - LARANJA;15
332082;1530;1530 - BEGE;13
332083;0002;0002 - PRETO;16
332083;0036;0036 - OFF-WHITE;1
332085;0002;0002 - PRETO;9
332085;0054;0054 - MARROM;9
332086;0002;0002 - PRETO;14
332086;0258;0258 - CAFÉ;13
332090;0002;0002 - PRETO;13
332090;0258;0258 - CAFÉ;13
332090;1146;1146 - FENDI;13
332092;0002;0002 - PRETO;28
332093;0002;0002 - PRETO;30
332093;0122;0122 - AZUL;4
332094;0002;0002 - PRETO;22
332094;0036;0036 - OFF-WHITE;18
332095;0036;0036 - OFF-WHITE;31
332096;1299;1299 - XADREZ;40
332096;1455;1455 - PIED POULE;40
